Latitude,Longitude,Rented,Price,Link,Google Maps link,Description,Id,Group
0,0,No,0,https://www.facebook.com/commerce/listing/294563036821221,"https://www.google.com/maps/search/?api=1&query=0,0","CASA UNIFAMILIAR COMPLETAMENTE	MX$0	Viviendas en venta	Publicado hace 4 semanas	Guardar	Compartir	Detalles	🛑CASA UNIFAMILIAR COMPLETAMENTE NUEVA	🛑 PRECIOS DESDE $ 6️⃣6️⃣6️⃣, 0️⃣0️⃣0️⃣	🛑INF ☎️3️⃣3️⃣2️⃣6️⃣0... Ver más	39	Enviar mensaje",294563036821221,529603630566325
0,0,No,0,https://www.facebook.com/commerce/listing/419558614130353,"https://www.google.com/maps/search/?api=1&query=0,0","PEQUE	MX$0	Publicado hace un día	Guardar	Compartir	Detalles	PEQUEÑO DEPARTAMENTO AMUEBLADO DE UNA RECÁMARA (TIPO ESTUDIO) DENTRO DE COTO PRIVADO.	✅ Con cochera ... Ver más	Enviar mensaje",419558614130353,cuartosyroomieszmg
0,0,No,5,https://www.facebook.com/commerce/listing/3691961217728389,"https://www.google.com/maps/search/?api=1&query=0,0","Se Renta	MX$5	Alquiler de propiedades	Publicado hace un día	Guardar	Compartir	Detalles	Se Renta!!		+info al whatsapp 3334421193		Se renta habitacion amueblada en Residencial Plaza Guadalu... Ver más	Todas las reacciones:	1	Enviar mensaje",3691961217728389,cuartosyroomieszmg
0,0,No,5,https://www.facebook.com/commerce/listing/763802142163604,"https://www.google.com/maps/search/?api=1&query=0,0","Se Renta	MX$5	Alquiler de propiedades	Publicado hace un día	Guardar	Compartir	Detalles	Se Renta!!		+info al whatsapp 3334421193		Se renta habitacion amueblada en Residencial Plaza Guadalu... Ver más	Enviar mensaje",763802142163604,cuartosyroomieszmg
0,0,No,5,https://www.facebook.com/commerce/listing/946596690209156,"https://www.google.com/maps/search/?api=1&query=0,0","Se Renta	MX$5	Alquiler de propiedades	Publicado hace 3 días	Guardar	Compartir	Detalles	Se Renta!!		+info al whatsapp 3334421193		Se renta habitacion amueblada en Residencial Plaza Guadalu... Ver más	Enviar mensaje",946596690209156,cuartosyroomieszmg
20.28177,-102.55212,No,1,https://www.facebook.com/commerce/listing/1086374405990348,"https://www.google.com/maps/search/?api=1&query=20.28177,-102.55212","Monoambiente 0 baños - Townhouse	MX$1	Alquiler de propiedades	Publicado hace 6 días en La Barca, Jal	Guardar	Compartir	Detalles	Excelente terreno en el centro de la Barca 6,341 metros cuadrados de superficie cuenta con escritura... Ver más	La Barca, Jal	La ubicación es aproximada	Información del vendedor	Detalles del vendedor	(16)	Enviar mensaje",1086374405990348,101428536996053
20.29224,-103.40101,No,5500,https://www.facebook.com/commerce/listing/227721373103532,"https://www.google.com/maps/search/?api=1&query=20.29224,-103.40101","1 habitación 1 baño - Departamento	$5.500/mes	Alquileres	Carretera Jocotepec-Chapala, Jocotepec, Jal	Publicado hace más de una semana	Enviar mensaje	Guardar	Detalles de la unidad	Departamento	1 dormitorio · 1 baño	Lavadero disponible	Estacionamiento privado	No amueblado	Ubicación de la propiedad	Jocotepec, Jal, 45800	Descripción	*******UN MES GRATIS!! **************	Habitación privada e independente para una persona con cama ma... Ver más	Reporta esta publicación si crees que es discriminatoria.	Enviar mensaje",227721373103532,443342110118758
20.346806545759,-102.77407769092,No,35000,https://www.facebook.com/commerce/listing/1755084391643910,"https://www.google.com/maps/search/?api=1&query=20.346806545759,-102.77407769092","Monoambiente 1 baño - Townhouse	MX$35.000	Alquiler de propiedades	Publicado hace 4 semanas en Ocotlán, Jal	Guardar	Compartir	Detalles	‼️‼️‼️‼️‼️‼️	>>  SE RENTA  << 		—> BODEGA INDUSTRIAL COMERCIAL / SALA DE EXHIBICIÓN.		* UBICACIÓN:  ... Ver más	Ocotlán, Jal	La ubicación es aproximada	Enviar mensaje",1755084391643910,926692934070184
20.473611111111,-103.44305555556,No,14000,https://www.facebook.com/commerce/listing/1087844815979531,"https://www.google.com/maps/search/?api=1&query=20.473611111111,-103.44305555556","3 habitaciones 2,5 baños - Casa	MX$14.000	Alquiler de propiedades	Publicado hace 2 semanas en Tlajomulco de Zúñiga, Jal	Guardar	Compartir	Detalles	😱Se Renta Casa 	En Boulevard Bosques de Sta. Anita Dentro de Coto…		DGI innovación en bienes raíces... Ver más	Tlajomulco de Zúñiga, Jal	La ubicación es aproximada	Información del vendedor	Detalles del vendedor	(5)	Enviar mensaje",1087844815979531,6151546404957659
20.475769042969,-103.45275878906,No,8000,https://www.facebook.com/commerce/listing/271595939252133,"https://www.google.com/maps/search/?api=1&query=20.475769042969,-103.45275878906","Renta Local Comercial Nuevo 33 m2 Tlajomulco Plaza Senderos Fraccionamiento Senderos de Monteverde	MX$8.000	  · Disponibles	Alquiler de propiedades	Publicado en Tlajomulco de Zúñiga, Jal	Encuentro en un lugar público	Guardar	Compartir	Detalles	Estado	Nuevo	Color de pulsera	blanco	Excelente Local Comercial Nuevo 33 metros cuadrados, Segunda Planta, Local número 14, Plaza Senderos... Ver más	Tlajomulco de Zúñiga, Jal	La ubicación es aproximada	Enviar mensaje",271595939252133,6151546404957659
