Id,Group
1001341405038233,101428536996053
1012022206833625,1447650615560237
1020909875778294,1447650615560237
1020976179266152,1447650615560237
1021420412193939,1447650615560237
1024102512091159,1447650615560237
1029649194802763,1447650615560237
1040595313910753,1447650615560237
1042805230600488,cuartosyroomieszmg
1043114683420474,926692934070184
1059468155024640,1447650615560237
1059508618470191,926692934070184
1063086564788335,926692934070184
1064359764872747,1447650615560237
1064532984620525,926692934070184
1069519860774804,cuartosyroomieszmg
1069778487468279,926692934070184
1071646307468659,cuartosyroomieszmg
1071873810742382,926692934070184
1073870637209383,926692934070184
1074896200432419,926692934070184
1075016697054668,1447650615560237
1075459653564532,529603630566325
1075737520313930,926692934070184
1075944450188122,1447650615560237
1077745273430092,926692934070184
1080785209861455,6151546404957659
1083482806276116,926692934070184
1085856016035867,926692934070184
1086374405990348,101428536996053
1087767675614135,cuartosyroomieszmg
1087844815979531,6151546404957659
1089816218971127,6151546404957659
1089828218802571,926692934070184
1092811215413593,1447650615560237
1093048705176485,1447650615560237
1093845031723331,2982751505128088
1094586928326931,cuartosyroomieszmg
1094711438315379,6151546404957659
1095312081735142,926692934070184
1095903018121445,926692934070184
1096377714812525,926692934070184
1097064324872639,1447650615560237
1098013667954460,6151546404957659
1101524697727989,101428536996053
1101901717809340,926692934070184
1102489917697524,926692934070184
1108129243857674,926692934070184
1108442583686938,1447650615560237
1108753473659763,926692934070184
1111232463520397,cuartosyroomieszmg
1112630476506512,cuartosyroomieszmg
1113801223092885,926692934070184
1113821879828347,1447650615560237
1116248106068283,926692934070184
1117090279610046,6151546404957659
1117868616079800,6151546404957659
1118064739599178,1447650615560237
1118987449347068,926692934070184
1120053312547002,101428536996053
1120313769007792,926692934070184
1120354195906955,cuartosyroomieszmg
1120730542253812,1447650615560237
1121051739049727,529603630566325
1122646262111754,926692934070184
1122757055425968,926692934070184
1123967618743096,6151546404957659
1125836478735094,6151546404957659
1126720458615100,cuartosyroomieszmg
1127086061749851,6151546404957659
1127114845097968,926692934070184
1127285308704543,1447650615560237
1128522444950243,1447650615560237
1133444911174459,cuartosyroomieszmg
1135209910828307,926692934070184
1136585490693131,926692934070184
1136772444158426,926692934070184
1138461743962404,926692934070184
1140530187075360,cuartosyroomieszmg
1141348870321838,cuartosyroomieszmg
1142524310224381,cuartosyroomieszmg
1142777390417565,926692934070184
1143108110015914,926692934070184
1143258306858339,6151546404957659
1146617586353119,cuartosyroomieszmg
1146924736332561,6151546404957659
1147047013088052,cuartosyroomieszmg
1147975976102540,926692934070184
1148318083261220,926692934070184
1148844529600192,cuartosyroomieszmg
1149087415991020,926692934070184
1149222779401222,529603630566325
1149474869833602,6151546404957659
1149502046074061,101428536996053
1150398199303575,cuartosyroomieszmg
1152035242371240,926692934070184
1154529092658344,926692934070184
1154616269001035,cuartosyroomieszmg
1155462048962389,6151546404957659
115647441514499,1447650615560237
1159328098424810,cuartosyroomieszmg
1159845275463469,6151546404957659
1161834918585884,6151546404957659
1161890184706497,6151546404957659
1165880444568955,cuartosyroomieszmg
1168499864166663,2982751505128088
1171246554313464,6151546404957659
1171358980903057,926692934070184
1173190337402546,1447650615560237
1174351090226641,926692934070184
1179509253491221,6151546404957659
1184015828995747,443342110118758
1184031302762901,cuartosyroomieszmg
1186578526109638,cuartosyroomieszmg
1192731755445249,926692934070184
1192842761696152,926692934070184
1195371308497061,2982751505128088
1199231247722506,926692934070184
1207530613967799,1447650615560237
1211012126543751,cuartosyroomieszmg
1219458872556507,1447650615560237
1229964088389418,926692934070184
1234442547533522,2982751505128088
1240815376877029,cuartosyroomieszmg
1263189074304164,1447650615560237
1265171357789982,cuartosyroomieszmg
1280130689286075,1447650615560237
1281339326155651,926692934070184
1283502203053432,cuartosyroomieszmg
1288289672068791,1447650615560237
1288667892089186,2982751505128088
130961833353429,1447650615560237
1325723938821087,926692934070184
1331534484182248,cuartosyroomieszmg
1331806850858522,926692934070184
1331883261047075,1447650615560237
1335369613802016,926692934070184
1341858536507678,cuartosyroomieszmg
1342141223116408,926692934070184
1346472536029027,6151546404957659
1347134685982284,2982751505128088
1349749875690111,cuartosyroomieszmg
1353935881955429,cuartosyroomieszmg
135492279563296,1447650615560237
1357247091781093,926692934070184
1360277894672163,926692934070184
1361269121407052,1447650615560237
1361525688581989,926692934070184
1362283571308267,443342110118758
1364349867772101,1447650615560237
1367055017339712,cuartosyroomieszmg
1372466310349107,443342110118758
1374329839927442,cuartosyroomieszmg
1375993889575963,6151546404957659
