Name,Latitude,Longitude
Auditorio,20.73598668615773,-103.35271138507225
Periferico norte,20.730644,-103.352343
Dermatologico,20.720829803791922,-103.35358974878554
Atemajac,20.716058186168603,-103.35660198507264
Division del norte,20.70798478617299,-103.35781828507272
Avila camacho,20.6993299861777,-103.3569686850729
Mezquitan,20.691338423002918,-103.35620377335462
Refugio,20.6821250048962,-103.3559286846714
Juarez,20.674863844764374,-103.3558718751822
Mexicaltzingo,20.66679818619565,-103.35761008507347
Whashington,20.66070086632401,-103.36171726736531
Santa filomena,20.654383486202445,-103.36583438507363
Unidad deportiva,20.647392786206158,-103.37136118507375
Urdaneta,20.643225186208483,-103.3748628850738
18 de marzo,20.640277193095724,-103.37851955816087
Isla raza,20.63286998621416,-103.382753385074
Patria sur,20.62676358621752,-103.38722028507404
Espana,20.620715212907673,-103.39374305211177
Tesoro,20.61381170718901,-103.39781858467208
Periferico sur,20.607167407411723,-103.4032411846722
